time_bin,gpu_demand
0,3123
300,3123
600,3123
900,3123
1200,3123
1500,3123
1800,3123
2100,3123
2400,3123
2700,3123
3000,3123
3300,3123
3600,3123
3900,3126
4200,3126
4500,3126
4800,3127
5100,3127
5400,3126
5700,3124
6000,3123
6300,3123
6600,3123
6900,3123
7200,3123
7500,3123
7800,3123
8100,3123
8400,3123
8700,3123
9000,3125
9300,3125
9600,3125
9900,3125
10200,3125
10500,3125
10800,3125
11100,3125
11400,3125
11700,3125
12000,3125
12300,3125
12600,3125
12900,3125
13200,3125
13500,3125
13800,3125
14100,3125
14400,3125
14700,3125
15000,3125
15300,3125
15600,3127
15900,3127
16200,3127
16500,3125
16800,3124
17100,3124
17400,3124
17700,3124
18000,3124
18300,3124
18600,3124
18900,3124
19200,3124
19500,3124
19800,3124
20100,3124
20400,3124
20700,3124
21000,3124
21300,3124
21600,3124
21900,3124
22200,3124
22500,3124
22800,3124
23100,3124
23400,3124
23700,3123
24000,3123
24300,3123
24600,3123
24900,3123
25200,3123
25500,3123
25800,3123
26100,3123
26400,3123
26700,3123
27000,3123
27300,3123
27600,3123
27900,3123
28200,3123
28500,3123
28800,3123
29100,3123
29400,3123
29700,3123
30000,3123
30300,3123
30600,3123
30900,3123
31200,3123
31500,3123
31800,3123
32100,3125
32400,3125
32700,3125
33000,3124
33300,3124
33600,3124
33900,3124
34200,3124
34500,3124
34800,3124
35100,3124
35400,3124
35700,3124
36000,3124
36300,3124
36600,3124
36900,3124
37200,3124
37500,3124
37800,3126
38100,3125
38400,3124
38700,3124
39000,3124
39300,3124
39600,3124
39900,3124
40200,3124
40500,3124
40800,3124
41100,3124
41400,3124
41700,3124
42000,3124
42300,3124
42600,3124
42900,3124
43200,3125
43500,3125
43800,3125
44100,3124
44400,3124
44700,3125
45000,3125
45300,3125
45600,3124
45900,3124
46200,3124
46500,3124
46800,3124
47100,3124
47400,3124
47700,3124
48000,3124
48300,3124
48600,3125
48900,3125
49200,3124
49500,3124
49800,3124
50100,3124
50400,3124
50700,3124
51000,3124
51300,3124
51600,3124
51900,3124
52200,3124
52500,3127
52800,3127
53100,3124
53400,3124
53700,3124
54000,3124
54300,3125
54600,3125
54900,3124
55200,3124
55500,3137
55800,3137
56100,3137
56400,3137
56700,3126
57000,3126
57300,3124
57600,3124
57900,3124
58200,3124
58500,3124
58800,3124
59100,3124
59400,3124
59700,3124
60000,3124
60300,3124
60600,3124
60900,3124
61200,3124
61500,3124
61800,3124
62100,3124
62400,3124
62700,3126
63000,3126
63300,3126
63600,3125
63900,3124
64200,3124
64500,3124
64800,3124
65100,3124
65400,3124
65700,3124
66000,3125
66300,3125
66600,3125
66900,3125
67200,3125
67500,3125
67800,3125
68100,3124
68400,3124
68700,3124
69000,3124
69300,3124
69600,3124
69900,3124
70200,3124
70500,3123
70800,3123
71100,3123
71400,3123
71700,3123
72000,3123
72300,3123
72600,3123
72900,3125
73200,3125
73500,3125
73800,3124
74100,3124
74400,3124
74700,3124
75000,3124
75300,3124
75600,3124
75900,3124
76200,3125
76500,3125
76800,3125
77100,3125
77400,3125
77700,3125
78000,3125
78300,3124
78600,3124
78900,3124
79200,3124
79500,3126
79800,3126
80100,3126
80400,3125
80700,3125
81000,3125
81300,3125
81600,3125
81900,3125
82200,3125
82500,3125
82800,3124
83100,3124
83400,3124
83700,3124
84000,3124
84300,3124
84600,3124
84900,3124
85200,3124
85500,3124
85800,3124
86100,3124
86400,3124
86700,3124
87000,3124
87300,3124
87600,3124
87900,3124
88200,3125
88500,3125
88800,3125
89100,3125
89400,3125
89700,3125
90000,3125
90300,3125
90600,3125
90900,3125
91200,3125
91500,3125
91800,3127
92100,3127
92400,3127
